genes	logFC	logCPM	LR	PValue	FDR
YJL116C	5.99204045093416	5.84518490265536	668.498829897262	2.11868308676357e-147	1.30849867438518e-143
YBR072W	5.05398528222562	5.70065030815632	533.083630930195	6.02687018453873e-118	1.86109751298556e-114
YDR536W	6.53842354091838	3.39126228623587	530.735603800869	1.95395447660165e-117	4.02254094916392e-114
YER011W	6.17541694248719	3.10235055167022	478.448702244801	4.64840246384632e-106	7.17713340417871e-103
YLR327C	4.94332093898059	3.7965357894532	437.968838263675	2.99576395586848e-97	3.70036763828874e-94
YIL101C	4.30353408529147	4.6717532249734	399.12897636226	8.52208886528356e-89	8.77207013866521e-86
YJR047C	5.06270769337368	3.05146862103924	395.287132674118	5.84630759324935e-88	5.158113670844e-85
YNL194C	4.68528661341107	3.22239291167866	375.577898230807	1.14218629768934e-83	8.81767821816172e-81
YOL052C-A	4.38839354708474	3.77031390802735	374.41271361955	2.048447028379e-83	1.40568987191874e-80
YDR380W	5.23374570825257	2.4720942617191	360.106044034397	2.669888876488e-80	1.64892337011899e-77
YGR043C	3.95074318452054	4.49871339499073	348.996820137648	7.00804876685361e-78	3.93470083491708e-75
YHR137W	4.60779925204038	2.86378006118125	344.659575346655	6.16762523831153e-77	3.174271122651e-74
YDR034W-B	4.95071305423425	2.42315054817568	338.108494633018	1.64744205336348e-75	7.82661701659451e-73
YFR053C	3.64230981261023	6.64120876326694	335.276562134932	6.81666934483799e-75	3.00712499097996e-72
YDR042C	3.96251284742182	3.96713306206679	333.833811854962	1.40537554243532e-74	5.78639956672036e-72
YGR142W	3.66548064604697	5.59444535490212	329.549764989138	1.20461798693165e-73	4.64982542955618e-71
YDR342C	3.68925095575436	5.29285840539852	328.885373986588	1.68095318002452e-73	6.10680402343025e-71
YBR296C	3.96571680007356	3.78893277067671	327.643674391683	3.13331252394606e-73	1.07507434154949e-70
YKL217W	3.81003769875458	3.8999148479667	314.000665294844	2.93578599141329e-70	9.54284962261498e-68
YKL163W	3.50150412340605	6.08303638046568	310.650139943631	1.57614639422893e-69	4.86714006537895e-67
YPL223C	3.91082995335399	3.43618218988176	307.386098873697	8.10313585338101e-69	2.38309366811815e-66
YNL160W	3.42720155393161	6.51886899086046	302.734489997231	8.35654877853061e-68	2.34591114800932e-65
YGR213C	4.25283813983546	2.67424375331788	301.667536869266	1.42716619815479e-67	3.83225149556694e-65
YFL014W	3.3225466712692	6.47720399916427	287.235351907962	1.99048039159796e-64	5.12216954104541e-62
YER103W	3.21754805597308	5.91163206587471	268.72395342413	2.15288304757727e-60	5.31848228073489e-58
YDR343C	3.2481540597677	4.99163766058563	264.213245604484	2.07088987948484e-59	4.919159959884e-57
YHR087W	3.28926593622586	4.43330826722396	261.93087362979	6.51084973153907e-59	1.4892965904439e-56
YLL057C	3.32555763709012	3.82141567343336	252.886651281154	6.09730354744035e-57	1.34489095389256e-54
YMR011W	3.03449542385155	7.96351937503624	250.020505605049	2.57021393384943e-56	5.47366939843244e-54
YOR100C	3.71279505248171	2.51853490848451	246.87264841495	1.24809426631341e-55	2.56941006291721e-53
YBR117C	3.54602429962622	2.82490623374552	244.596847775162	3.91224670581957e-55	7.7942050500457e-53
YEL039C	3.70521791541612	2.44810156533541	242.826430318046	9.51551421354564e-55	1.83649424321431e-52
YOR134W	3.6386474306177	2.55017387742835	242.419870904693	1.16701502550318e-54	2.18408630227503e-52
YPR160W	3.0267865170807	5.88184478137913	242.218654738397	1.29106717226108e-54	2.34518554584837e-52
YMR107W	4.5106822070423	1.52311935540348	237.932801528273	1.11033755427787e-53	1.9592699243486e-51
YPR157W	-2.89781546912706	5.13637419730291	219.319590830064	1.27291440916807e-49	2.18375538639501e-47
YPL240C	2.80701154249623	8.14704453182332	218.500632948465	1.92060808623601e-49	3.20585825421449e-47
YBR056W-A	2.99803682453594	4.02750585376784	218.247855653565	2.18060875350116e-49	3.5440630688482e-47
YNR002C	3.30962412509464	2.62377128454749	213.60885601189	2.24154180094168e-48	3.54968260579893e-46
YGR256W	3.08959000601752	3.17063252519237	210.022571260776	1.35813017228394e-47	2.0969529860064e-45
YFL058W	3.58568430919334	1.99421130316649	209.86180390596	1.47236783807325e-47	2.2178887238879e-45
YJL153C	2.73420648234605	6.82504482499119	206.353826927999	8.57807656002537e-47	1.26138573415992e-44
YAL061W	2.82583370763552	4.57656179109973	205.0844577105	1.62314422159819e-46	2.33128807269545e-44
YHL024W	2.7855645125237	4.91342331683193	202.934905773648	4.77961020396987e-46	6.70883468629953e-44
YHR157W	3.00819290761484	2.84556821163887	191.713212154081	1.34394792091112e-43	1.84449385767713e-41
YMR323W	2.95802046608753	2.89004722549742	189.243831156295	4.64930517903709e-43	6.24219756211589e-41
YJL144W	3.40736227450657	1.82483965041578	186.762433188359	1.61827814996949e-42	2.12648635195991e-40
YML128C	2.58277918232144	6.21063291081515	185.003149442387	3.91841510294812e-42	5.04169409912658e-40
YLR267W	2.90478449534639	2.85567744457901	181.665533966906	2.09785625392844e-41	2.64415514780858e-39
YIL099W	3.41105435310745	1.65996364336744	178.394631412045	1.08629031829274e-40	1.34178580115519e-38
